City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Barrow,US,71.2906,-156.7887,-2.18,78,100,14.97,light snow
79,Karpathos,GR,35.507,27.2132,57.16,88,3,4.61,clear sky
80,Urdoma,RU,61.7533,48.5442,14.79,95,100,5.41,light snow
81,Pierre,US,44.3683,-100.351,27.52,81,100,7.0,overcast clouds
82,Lavrentiya,RU,65.5833,-171.0,-9.22,86,83,9.89,broken clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,72.14,93,100,2.66,overcast clouds
84,Hithadhoo,MV,-0.6,73.0833,79.86,75,54,4.72,broken clouds
85,Tura,IN,25.5198,90.2201,67.1,41,1,2.01,clear sky
86,Asau,RO,46.4333,26.4,29.32,85,65,6.51,broken clouds
87,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.14,96,100,7.2,overcast clouds
88,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
89,Udachnyy,RU,66.4167,112.4,-16.58,96,100,12.84,overcast clouds
90,Vaini,TO,-21.2,-175.2,75.36,94,100,9.22,moderate rain
91,Kupang,ID,-10.1667,123.5833,88.38,74,75,20.71,broken clouds
92,Kabalo,CD,-6.05,26.9167,67.06,99,100,2.37,overcast clouds
93,Deep River,CA,46.1001,-77.4995,39.94,100,100,4.72,overcast clouds
94,Katsuura,JP,35.1333,140.3,49.42,43,93,4.74,overcast clouds
95,Provideniya,RU,64.3833,-173.3,3.31,72,40,8.95,scattered clouds
96,Atar,MR,20.5169,-13.0499,71.69,26,35,31.63,scattered clouds
97,Lompoc,US,34.6391,-120.4579,56.12,88,100,4.61,overcast clouds
98,Chor,PK,25.5167,69.7667,67.82,28,0,14.7,clear sky
99,Coos Bay,US,43.3665,-124.2179,55.15,100,100,11.5,mist
100,Port Hueneme,US,34.1478,-119.1951,56.95,94,100,4.61,mist
101,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,87,100,23.87,overcast clouds
